id	effectiveTime	active	moduleId	refsetId	referencedComponentId	mapTarget	attributeId	correlationId	contentOriginId
87b576b3-5dc3-4200-b8bd-511747ecee78	20140926	1	705115006	705112009	117276008	LP38739-6	704320005	447557004	705119000
87ef8f4a-e32d-4cf8-9281-e1f565c1ac64	20140926	1	705115006	705112009	409871008	LP36005-4	704320005	447557004	705119000
88024ed2-7129-42d5-9644-d87037e600ce	20140926	1	705115006	705112009	119383005	LP7400-7	704327008	447558009	705119000
881e47a2-57e0-4323-b711-d479fdabce7d	20140926	1	705115006	705112009	120740006	LP37361-0	704320005	447557004	705119000
8854f44f-0627-4fd0-b6a6-e6ff2eb815d5	20140926	1	705115006	705112009	121220007	LP39485-5	704320005	447557004	705119000
8862e61b-0490-4dd1-b1a6-a382ea1b245e	20140926	1	705115006	705112009	121173001	LP39160-4	704320005	447557004	705119000
8864c6ac-7775-44c0-b971-136191a835f5	20140926	1	705115006	705112009	103090006	LP15466-3	704320005	447557004	705119000
886d1750-91da-4c2a-b161-fd2fc8b1abc0	20140926	1	705115006	705112009	119393003	LP30364-1	704327008	447558009	705119000
88814f67-49d3-4fb3-8072-3c784d61b9f6	20140926	1	705115006	705112009	121032004	LP39288-3	704320005	447557004	705119000
88bebe39-b954-4d72-92d1-d0141351abac	20140926	1	705115006	705112009	3351007	LP37057-4	704320005	447557004	705119000
88c110a3-69b4-45f5-a537-8918ae6d7871	20140926	1	705115006	705112009	25390005	LP15316-0	704320005	447557004	705119000
88d5e655-07df-47c2-b198-2d0d547dd231	20140926	1	705115006	705112009	103051007	LP20898-0	704320005	447559001	705119000
88dc04f4-1d70-4bcf-8a89-ef1865a7aa5c	20140926	1	705115006	705112009	11894001	LP18030-4	704320005	447557004	705119000
891d0d81-6fb8-4f15-b4f1-441b1cf8d373	20140926	1	705115006	705112009	115393005	LP18447-0	704324001	447559001	705119000
89401573-ff17-493a-bd53-0a55eea11795	20140926	1	705115006	705112009	703495000	LP16487-8	704320005	447558009	705117003
89438e51-4298-4b97-b69e-a692b3d42f4d	20140926	1	705115006	705112009	121094000	LP40052-0	704320005	447557004	705119000
89439600-983b-4df5-b4e1-ecd070255bef	20140926	1	705115006	705112009	444183007	LP38081-3	704320005	447557004	705119000
