id	effectiveTime	active	moduleId	sourceId	destinationId	relationshipGroup	typeId	characteristicTypeId	modifierId
5220554020	20140731	1	900000000000207008	462537001	705179005	0	116680003	900000000000011006	900000000000451002
5220555021	20140731	1	900000000000207008	470084004	705179005	0	116680003	900000000000011006	900000000000451002
5220556022	20140731	1	900000000000207008	469518006	705179005	0	116680003	900000000000011006	900000000000451002
5220557029	20140731	1	900000000000207008	463114005	705179005	0	116680003	900000000000011006	900000000000451002
5220558023	20140731	1	900000000000207008	469426000	705179005	0	116680003	900000000000011006	900000000000451002
5220559026	20140731	1	900000000000207008	465838009	705179005	0	116680003	900000000000011006	900000000000451002
5220560020	20140731	1	900000000000207008	465930001	705179005	0	116680003	900000000000011006	900000000000451002
5220561024	20140731	1	900000000000207008	469101004	705180008	0	116680003	900000000000011006	900000000000451002
5220562028	20140731	1	900000000000207008	466329007	705180008	0	116680003	900000000000011006	900000000000451002
5220563022	20140731	1	900000000000207008	469469008	705180008	0	116680003	900000000000011006	900000000000451002
5220564027	20140731	1	900000000000207008	462648002	705180008	0	116680003	900000000000011006	900000000000451002
5220565026	20140731	1	900000000000207008	463986003	705180008	0	116680003	900000000000011006	900000000000451002
5220566025	20140731	1	900000000000207008	463833002	705180008	0	116680003	900000000000011006	900000000000451002
5220567023	20140731	1	900000000000207008	465671005	705180008	0	116680003	900000000000011006	900000000000451002
5220568029	20140731	1	900000000000207008	464910009	705180008	0	116680003	900000000000011006	900000000000451002
5220569021	20140731	1	900000000000207008	465782005	705181007	0	116680003	900000000000011006	900000000000451002
5220570022	20140731	1	900000000000207008	462948000	705181007	0	116680003	900000000000011006	900000000000451002
5220571021	20140731	1	900000000000207008	462943009	705181007	0	116680003	900000000000011006	900000000000451002
5220572025	20140731	1	900000000000207008	469905007	705183005	0	116680003	900000000000011006	900000000000451002
5220573024	20140731	1	900000000000207008	467635005	705183005	0	116680003	900000000000011006	900000000000451002
5220574029	20140731	1	900000000000207008	468112006	705183005	0	116680003	900000000000011006	900000000000451002
5220575028	20140731	1	900000000000207008	470117000	705183005	0	116680003	900000000000011006	900000000000451002
5220576027	20140731	1	900000000000207008	470508009	705183005	0	116680003	900000000000011006	900000000000451002
