id	effectiveTime	active	moduleId	refSetId	referencedComponentId	mapGroup	mapPriority	mapRule	mapAdvice	mapTarget	correlationId	mapCategoryId
be3fe68b-d270-5a18-9ea4-2521a856a79e	20140731	1	900000000000207008	450993002	3457005	1	1	TRUE	ALWAYS -68	-68	447561005	447637006
1ba54110-66b5-5ee1-89fc-531a9ee23c64	20140731	1	900000000000207008	450993002	3468005	1	1	TRUE	ALWAYS A94	A94	447561005	447637006
06746277-b5ca-554a-93ca-8f70cca63b26	20140731	1	900000000000207008	450993002	3502005	1	1	TRUE	ALWAYS B70	B70	447561005	447637006
53ee7b57-7368-53f9-aac6-85e266dbf262	20140731	1	900000000000207008	450993002	3548001	1	1	TRUE	ALWAYS N94	N94	447561005	447637006
43c9f069-93e3-568c-9c17-372e05b783a6	20140731	1	900000000000207008	450993002	3696007	1	1	TRUE	ALWAYS D07	D07	447561005	447637006
4c628abb-a022-5639-800f-957ee4d5118e	20140731	1	900000000000207008	450993002	3716002	1	1	TRUE	ALWAYS T81	T81	447561005	447637006
a0e2dfaa-9d48-5ccb-9927-b9024d4b7087	20140731	1	900000000000207008	450993002	3723001	1	1	TRUE	ALWAYS L91	L91	447561005	447637006
0eb6de5b-787f-5b53-b71d-959eae49840e	20140731	1	900000000000207008	450993002	3738000	1	1	TRUE	ALWAYS D72	D72	447561005	447637006
dd85ca91-d482-5db9-a99d-7a6883c688f3	20140731	1	900000000000207008	450993002	3895009	1	1	TRUE	ALWAYS -56	-56	447561005	447637006
9d698918-5408-5d49-9e40-afb1714bc297	20140731	1	900000000000207008	450993002	3900008	1	1	TRUE	ALWAYS N94	N94	447561005	447637006
94fb524f-9d1d-5e4b-a7fb-4d661e5add56	20140731	1	900000000000207008	450993002	3951002	1	1	TRUE	ALWAYS D99	D99	447561005	447637006
f0ed4942-8874-5f11-9f23-833ae25e6e94	20140731	1	900000000000207008	450993002	4009004	1	1	TRUE	ALWAYS U71	U71	447561005	447637006
05b15489-d7f2-51fa-99cd-50571a7757e0	20140731	1	900000000000207008	450993002	4106009	1	1	TRUE	ALWAYS L92	L92	447561005	447637006
2bf179f9-6a2a-5c6e-9471-4d80ef853c28	20140731	1	900000000000207008	450993002	4120002	1	1	TRUE	ALWAYS R78	R78	447561005	447637006
f1eb6986-f073-527d-9c66-a44774b90246	20140731	1	900000000000207008	450993002	4127004	1	1	TRUE	ALWAYS Y85	Y85	447561005	447637006
e33f8445-b16a-5c85-885a-344e30c3b932	20140731	1	900000000000207008	450993002	4210003	1	1	TRUE	ALWAYS F93	F93	447561005	447637006
6a7604e4-7b06-5466-81c9-83cace67dfc0	20140731	1	900000000000207008	450993002	4223005	1	1	TRUE	ALWAYS N87	N87	447561005	447637006
55db13e5-484e-56c6-b20f-8aaf81f3bbb7	20140731	1	900000000000207008	450993002	4308002	1	1	TRUE	ALWAYS L99	L99	447561005	447637006
1f41703c-c990-5c3a-94af-75a1b37b8214	20140731	1	900000000000207008	450993002	4373005	1	1	TRUE	ALWAYS S22	S22	447561005	447637006
25edd58a-d33f-584d-9f70-89e4fb67bb6b	20140731	1	900000000000207008	450993002	4386001	1	1	TRUE	ALWAYS R99	R99	447561005	447637006
883a4906-923f-539b-9050-f8e0b2df52d8	20140731	1	900000000000207008	450993002	4406004	1	1	TRUE	ALWAYS Y84	Y84	447561005	447637006
555cddc5-5a09-57f0-80c7-74d11fe5940f	20140731	1	900000000000207008	450993002	4473006	1	1	TRUE	ALWAYS N89	N89	447561005	447637006
dcd8ca52-4445-5d30-8c1f-cf112e1905c8	20140731	1	900000000000207008	450993002	4506002	1	1	TRUE	ALWAYS Z07	Z07	447561005	447637006
cdab2324-f53b-54bb-8d6e-88b062ff5533	20140731	1	900000000000207008	450993002	4556007	1	1	TRUE	ALWAYS D87	D87	447561005	447637006
0feea6ec-e647-5330-98c1-6148a2a39fb5	20140731	1	900000000000207008	450993002	4557003	1	1	TRUE	ALWAYS K74	K74	447561005	447637006
ba0ca664-6f5b-500c-b58c-4374a1f10184	20140731	1	900000000000207008	450993002	4568003	1	1	TRUE	ALWAYS A11	A11	447561005	447637006
b37a03c3-6f7b-54cd-9467-4a4b8ff67181	20140731	1	900000000000207008	450993002	4598005	1	1	TRUE	ALWAYS T99	T99	447561005	447637006
4d60f73a-8a4a-5ccb-96a8-85ac0ef8d63a	20140731	1	900000000000207008	450993002	4711003	1	1	TRUE	ALWAYS D81	D81	447561005	447637006
450c2fc5-b14b-5b78-9e58-03d69f2c665c	20140731	1	900000000000207008	450993002	4740000	1	1	TRUE	ALWAYS S70	S70	447561005	447637006
644376e6-8a50-5e08-9fc4-cafa0312305d	20140731	1	900000000000207008	450993002	4754008	1	1	TRUE	ALWAYS Y16	Y16	447561005	447637006
269aaf8e-86cf-5a6e-9cbf-c84280b0cdca	20140731	1	900000000000207008	450993002	4776004	1	1	TRUE	ALWAYS S99	S99	447561005	447637006
47b04ae9-e887-522c-b9f6-27f952ed0feb	20140731	1	900000000000207008	450993002	4788002	1	1	TRUE	ALWAYS L76	L76	447561005	447637006
23d68226-8ef3-52a1-b0a8-dca958ffe5eb	20140731	1	900000000000207008	450993002	4800001	1	1	TRUE	ALWAYS U98	U98	447561005	447637006
c79437d5-546d-57e5-a08e-bf01438fa397	20140731	1	900000000000207008	450993002	4821001	1	1	TRUE	ALWAYS S16	S16	447561005	447637006
b4edce9b-0df1-5079-8908-9a962a41afb2	20140731	1	900000000000207008	450993002	4834000	1	1	TRUE	ALWAYS D70	D70	447561005	447637006
64e8ef32-24d6-5b67-acaa-19a74fc85db3	20140731	1	900000000000207008	450993002	4851007	1	1	TRUE	ALWAYS K83	K83	447561005	447637006
c56ee37f-e421-5b2d-a432-c4564cad46ee	20140731	1	900000000000207008	450993002	4854004	1	1	TRUE	ALWAYS B82	B82	447561005	447637006
1da8fdeb-0de8-5514-8b1a-c30578652058	20140731	1	900000000000207008	450993002	4855003	1	1	TRUE	ALWAYS F83	F83	447561005	447637006
b6fbb19b-b10e-55fa-928a-8cdf8b6010e3	20140731	1	900000000000207008	450993002	4969004	1	1	TRUE	ALWAYS R09	R09	447561005	447637006
9b18d755-3039-526b-a708-24c25a31aeae	20140731	1	900000000000207008	450993002	5132005	1	1	TRUE	ALWAYS S99	S99	447561005	447637006
e87884be-0290-53ee-81a3-4d01ffd8e033	20140731	1	900000000000207008	450993002	5158005	1	1	TRUE	ALWAYS P10	P10	447561005	447637006
4a21476e-d08d-5ab7-8d1f-3f81ff83a44d	20140731	1	900000000000207008	450993002	5291005	1	1	TRUE	ALWAYS A91	A91	447561005	447637006
