id	effectiveTime	active	moduleId	definitionStatusId
705304008	20140731	1	900000000000207008	900000000000074008
705307001	20140731	1	900000000000207008	900000000000074008
705308006	20140731	1	900000000000207008	900000000000074008
705309003	20140731	1	900000000000207008	900000000000074008
705310008	20140731	1	900000000000207008	900000000000074008
705311007	20140731	1	900000000000207008	900000000000074008
705312000	20140731	1	900000000000207008	900000000000074008
705313005	20140731	1	900000000000207008	900000000000074008
705314004	20140731	1	900000000000207008	900000000000074008
705315003	20140731	1	900000000000207008	900000000000074008
705316002	20140731	1	900000000000207008	900000000000074008
705320003	20140731	1	900000000000207008	900000000000074008
705321004	20140731	1	900000000000207008	900000000000074008
705322006	20140731	1	900000000000207008	900000000000074008
705323001	20140731	1	900000000000207008	900000000000074008
705324007	20140731	1	900000000000207008	900000000000074008
705325008	20140731	1	900000000000207008	900000000000074008
705326009	20140731	1	900000000000207008	900000000000074008
705327000	20140731	1	900000000000207008	900000000000074008
705328005	20140731	1	900000000000207008	900000000000074008
705329002	20140731	1	900000000000207008	900000000000074008
705330007	20140731	1	900000000000207008	900000000000074008
705331006	20140731	1	900000000000207008	900000000000074008
705332004	20140731	1	900000000000207008	900000000000074008
705333009	20140731	1	900000000000207008	900000000000074008
705334003	20140731	1	900000000000207008	900000000000074008
705335002	20140731	1	900000000000207008	900000000000074008
705336001	20140731	1	900000000000207008	900000000000074008
705338000	20140731	1	900000000000207008	900000000000074008
705339008	20140731	1	900000000000207008	900000000000074008
705340005	20140731	1	900000000000207008	900000000000074008
705341009	20140731	1	900000000000207008	900000000000074008
705342002	20140731	1	900000000000207008	900000000000074008
705343007	20140731	1	900000000000207008	900000000000074008
705344001	20140731	1	900000000000207008	900000000000074008
705345000	20140731	1	900000000000207008	900000000000074008
705346004	20140731	1	900000000000207008	900000000000074008
705347008	20140731	1	900000000000207008	900000000000074008
705348003	20140731	1	900000000000207008	900000000000074008
705349006	20140731	1	900000000000207008	900000000000074008
705350006	20140731	1	900000000000207008	900000000000074008
705353008	20140731	1	900000000000207008	900000000000074008
705355001	20140731	1	900000000000207008	900000000000074008
705356000	20140731	1	900000000000207008	900000000000074008
705357009	20140731	1	900000000000207008	900000000000074008
705358004	20140731	1	900000000000207008	900000000000074008
705360002	20140731	1	900000000000207008	900000000000074008
705361003	20140731	1	900000000000207008	900000000000074008
705362005	20140731	1	900000000000207008	900000000000074008
705363000	20140731	1	900000000000207008	900000000000074008
705364006	20140731	1	900000000000207008	900000000000074008
705365007	20140731	1	900000000000207008	900000000000074008
705367004	20140731	1	900000000000207008	900000000000074008
705368009	20140731	1	900000000000207008	900000000000074008
705369001	20140731	1	900000000000207008	900000000000074008
705370000	20140731	1	900000000000207008	900000000000074008
705371001	20140731	1	900000000000207008	900000000000074008
705372008	20140731	1	900000000000207008	900000000000074008
705373003	20140731	1	900000000000207008	900000000000074008
705374009	20140731	1	900000000000207008	900000000000074008
705375005	20140731	1	900000000000207008	900000000000074008
705377002	20140731	1	900000000000207008	900000000000074008
705378007	20140731	1	900000000000207008	900000000000074008
705379004	20140731	1	900000000000207008	900000000000074008
705380001	20140731	1	900000000000207008	900000000000074008
705381002	20140731	1	900000000000207008	900000000000074008
705382009	20140731	1	900000000000207008	900000000000074008
705383004	20140731	1	900000000000207008	900000000000074008
705384005	20140731	1	900000000000207008	900000000000074008
705385006	20140731	1	900000000000207008	900000000000074008
705386007	20140731	1	900000000000207008	900000000000074008
705387003	20140731	1	900000000000207008	900000000000074008
705388008	20140731	1	900000000000207008	900000000000074008
705389000	20140731	1	900000000000207008	900000000000074008
705390009	20140731	1	900000000000207008	900000000000074008
705391008	20140731	1	900000000000207008	900000000000074008
705392001	20140731	1	900000000000207008	900000000000074008
705393006	20140731	1	900000000000207008	900000000000074008
