id	effectiveTime	active	moduleId	refsetId	referencedComponentId	mapTarget	expression	definitionStatusId	correlationId	contentOriginId
89d3aac4-6e3a-4873-a3fe-972192fb68be	20140926	1	705115006	705110001	705114005	34205-5	363787002:70434600=(386053000:704327008=122575003,704347000=(414237002:704318007=118556004,704320005=22941009,704319004=78014005),370132008=30766002)	900000000000073002	447557004	705117003
0e34e76c-79a4-4a3a-9f4a-bdfdc82ceaf2	20140926	1	705115006	705110001	705114005	31338-7	363787002:70434600=(386053000:370132008=30766002,704327008=119364003,704347000=(414237002:704320005=120872001,704318007=118569000,704319004=50863008))	900000000000073002	447557004	705117003
0d73bf7a-66f3-480f-9509-bd9f12e5a00e	20140926	1	705115006	705110001	705114005	25997-8	363787002:70434600=(386053000:704347000=(414237002:704318007=118556004,704320005=88476001,704319004=78014005),704327008=276833005,370132008=30766002)	900000000000073002	447557004	705117003
e614b225-f3ad-49e4-8d62-2b4a279b8420	20140926	1	705115006	705110001	705114005	8005-1	363787002:70434600=(386053000:246501002=702675006,704347000=(414237002:704320005=121196001,704318007=118569000,704319004=50863008),370132008=117363000,704327008=119364003)	900000000000073002	447557004	705117003
891305fc-5797-490e-bb95-7dd64f077011	20140926	1	705115006	705110001	705114005	1729-3	363787002:70434600=(386053000:704347000=(414237002:704319004=703062004,704320005=38854003,704318007=118524006),704327008=418525009,370132008=30766002)	900000000000073002	447557004	705117003
b4ee90c6-1646-4df2-baae-bb472177fdc5	20140926	1	705115006	705110001	705114005	35444-9	363787002:70434600=(386053000:704327008=119342007,246501002=703446000,370132008=117363000,704347000=(414237002:704319004=256897009,704320005=116925008,704318007=118569000))	900000000000073002	447557004	705117003
d65bc666-864a-44f6-aa86-24b007077500	20140926	1	705115006	705110001	705114005	51801-9	363787002:70434600=(386053000:246501002=703444002,704347000=(414237002:704318007=118590008,704320005=103178007,704319004=50863008),370132008=30766002,704327008=119364003)	900000000000073002	447557004	705117003
056f286a-a777-4b72-b2cb-e9315add1e42	20140926	1	705115006	705110001	705114005	1971-1	363787002:70434600=(386053000:704327008=122592007,704347000=(414237002:704320005=37852002,704318007=118539007,704319004=50863008),370132008=30766002)	900000000000073002	447557004	705117003
67ada44f-7146-4f17-a4cf-35e8c4e00d77	20140926	1	705115006	705110001	705114005	2628-6	363787002:70434600=(386053000:704347000=(414237002:704320005=69814000,704319004=50863008,704318007=118524006),370132008=30766002,704327008=119364003)	900000000000073002	447557004	705117003
2ce2a8bd-53b1-4561-8762-da3b97c1cabc	20140926	1	705115006	705110001	705114005	39008-8	363787002:70434600=(386053000:704347000=(414237002:704320005=72165005,704319004=32457005,704318007=118569000),246501002=703446000,370132008=117363000,704327008=309051001)	900000000000073002	447557004	705117003
